id	supported by	compatible with	conflicts with	is trivial in
mrcaott1008117ott2958433				node ott1008117 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751
mrcaott1008117ott2958433	node node95 for https://tree.opentreeoflife.org/curator/study/view/ot_163/?tab=trees&tree=tree1			
mrcaott1038966ott1042705	node node1174899 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott1038966ott5740081	node node1174901 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott1050743ott5336735				node ott5336735 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745
mrcaott1050743ott5336735	node node1174758 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott1083833ott2958098				node ott1083833 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott1083833ott2958098				node ott1083833 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott1083833ott2958098				node ott1083833 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745
mrcaott1083833ott2958098	node Tn11887419 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459			
mrcaott129220ott148174			node node1174831 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott129220ott148174			node node1174835 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott129220ott148174	node node41 for https://tree.opentreeoflife.org/curator/study/view/ot_163/?tab=trees&tree=tree1			
mrcaott129220ott151794			node node1174831 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott129220ott151794			node node1174835 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott129220ott151794			node node1174836 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott129220ott151794	node node42 for https://tree.opentreeoflife.org/curator/study/view/ot_163/?tab=trees&tree=tree1			
mrcaott129220ott214567	node node1174825 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott129220ott214567	node node6 for https://tree.opentreeoflife.org/curator/study/view/ot_163/?tab=trees&tree=tree1			
mrcaott129220ott465532	node node1174809 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott129220ott580651			node node1174831 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott129220ott580651			node node1174835 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott129220ott580651	node node40 for https://tree.opentreeoflife.org/curator/study/view/ot_163/?tab=trees&tree=tree1			
mrcaott140026ott165468				node ott165468 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott140026ott165468				node ott165468 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
