id	supported by	compatible with	conflicts with	is trivial in
mrcaott1046128ott4606620				node ott1099034 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
mrcaott1046128ott4606620	node node4 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1			
mrcaott142444ott1046128				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
mrcaott142444ott1046128		node node5 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1		
mrcaott142444ott1046128	node node21 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1			
mrcaott142444ott1046128	node node249 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1			
mrcaott142444ott1046128	node node31 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott142444ott1046128	node node6 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1			
mrcaott142444ott1046128	node node7 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott142444ott142446				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
mrcaott142444ott142446		node node250 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1		
mrcaott142444ott142446		node node5 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1		
mrcaott142444ott142446	node node11 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott142444ott142446	node node29 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1			
mrcaott142444ott142446	node node32 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott142444ott142446	node node7 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1			
mrcaott142444ott3407764		node node15 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2		
mrcaott142444ott3407764		node node3 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1		
mrcaott142444ott3407764		node node31 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1		
mrcaott142444ott3407764		node node33 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1		
mrcaott142444ott3407764		node node9 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1		
mrcaott142444ott3407764	node node11 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1			
mrcaott142444ott3407764	node node12 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1			
mrcaott142444ott4606618				node ott142444 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
mrcaott142444ott4606618		node node15 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2		
mrcaott142444ott4606618		node node3 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1		
mrcaott142444ott4606618		node node31 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1		
mrcaott142444ott4606618		node node33 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1		
mrcaott142444ott4606618		node node9 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1		
mrcaott142444ott4606618	node node7 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1			
mrcaott142446ott1067616				node ott3407775 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
mrcaott142446ott1067616	node node251 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1			
mrcaott142446ott153854				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
mrcaott142446ott153854				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
mrcaott142446ott153854				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
mrcaott142446ott153854				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
mrcaott142446ott153854				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
mrcaott142446ott153854				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
mrcaott142446ott153854		node node250 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1		
mrcaott142446ott153854	node node21 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1			
mrcaott142446ott4606616				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
mrcaott142446ott4606616				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
mrcaott142446ott4606616				node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
mrcaott142446ott4606616		node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1		
mrcaott142446ott4606616		node node250 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1		
mrcaott142446ott4606616	node node12 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott142446ott4606616	node node19 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1			
mrcaott142446ott4606616	node node36 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
