id	supported by	compatible with	conflicts with	is trivial in
mrcaott101864ott1014995				node ott621604 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott101864ott1014995	node node50 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
mrcaott101864ott621604				node ott621604 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott101864ott621604	node node54 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
mrcaott1057299ott1057301	node Tn13587350 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott1057299ott1057303	node Tn13587307 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott1057303ott1057305	node Tn13587425 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott108974ott122073	node node10 for https://tree.opentreeoflife.org/curator/study/view/ot_635/?tab=trees&tree=tree1			
mrcaott108974ott122087	node node8 for https://tree.opentreeoflife.org/curator/study/view/ot_635/?tab=trees&tree=tree1			
mrcaott113061ott343456	node Tn13587512 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott113061ott343456	node Tn8979939 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott11359ott22071				node ott284531 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott11359ott22071	node node20 for https://tree.opentreeoflife.org/curator/study/view/ot_633/?tab=trees&tree=tree2			
mrcaott122073ott536084	node node12 for https://tree.opentreeoflife.org/curator/study/view/ot_635/?tab=trees&tree=tree1			
mrcaott125505ott215094	node Tn13587422 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott125505ott415375	node Tn13587433 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott125505ott874760	node Tn13587420 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott13190ott3623954	node node191 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott13190ott3623955	node node189 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott13190ott3623956	node node198 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott13190ott3623960	node node196 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott13190ott3623963	node node187 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott13190ott3623966	node node194 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott13190ott3624213		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott13190ott3624213	node node159 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott13190ott3624294		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott13190ott3624294	node node169 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott13190ott693120		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott13190ott693120	node node151 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott139643ott3624005				node ott139643 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott139643ott3624005	node node57 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
mrcaott144212ott277161	node node22 for https://tree.opentreeoflife.org/curator/study/view/ot_635/?tab=trees&tree=tree1			
mrcaott144212ott950003	node node26 for https://tree.opentreeoflife.org/curator/study/view/ot_635/?tab=trees&tree=tree1			
mrcaott144212ott952540	node node20 for https://tree.opentreeoflife.org/curator/study/view/ot_635/?tab=trees&tree=tree1			
mrcaott165949ott3623544				node ott791207 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott165949ott3623544	node Tn8987704 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott165949ott3623552				node ott791207 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott165949ott3623552	node Tn8987698 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott165949ott3623573				node ott791207 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott165949ott3623573	node Tn8987715 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott165949ott532334				node ott791207 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott165949ott532334	node Tn8987701 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott165949ott740542				node ott791207 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott165949ott740542	node Tn8987717 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott165953ott3623574	node Tn8987734 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott165953ott839745	node Tn8987699 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott165958ott3623472		node Tn8987758 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870		
mrcaott165958ott3623472	node node15 for https://tree.opentreeoflife.org/curator/study/view/ot_589/?tab=trees&tree=tree1			
mrcaott165958ott3623481		node Tn8987758 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870		
mrcaott165958ott3623481	node node20 for https://tree.opentreeoflife.org/curator/study/view/ot_589/?tab=trees&tree=tree1			
mrcaott165958ott3623482		node Tn8987758 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870		
mrcaott165958ott3623482	node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_589/?tab=trees&tree=tree1			
mrcaott179932ott290433	node Tn13587440 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott184768ott228101	node Tn13587370 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott194065ott297548	node Tn13587520 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott203412ott475461				node ott582523 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott203412ott475461	node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_590/?tab=trees&tree=tree1			
mrcaott205351ott244030				node ott1090792 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott205351ott244030	node node16 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott343324	node node52 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott3624062	node node121 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott3624151	node node113 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott392179	node node33 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott502078	node Tn13587449 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott215094ott531347	node Tn13587456 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott215099ott216459	node Tn8979948 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott215102ott922059	node Tn13587365 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott215103ott3623949		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623949	node node176 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott3623952		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623952	node node178 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott3623957		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623957	node node174 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott3623959		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623959	node node182 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott3623965		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623965	node node180 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott650090		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
